series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
de_guidance_fy_financial_services_net_income,2016-10-30,2016,Q3,480,USDm,filing,filings/2016-08-19__de-us-20160819-q3-8k__784652.md,"guidance_issued=2016-08-19; guidance_vintage=FY2016 Q3 earnings release; vintage_seq=3; guides FY2016 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2017-10-29,2017,Q4,480,USDm,filing,filings/2016-11-23__de-us-20161123-q4-8k__784650.md,"guidance_issued=2016-11-23; guidance_vintage=FY2016 Q4 earnings release; vintage_seq=0; guides FY2017 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2017 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2017-10-29,2017,Q1,480,USDm,filing,filings/2017-02-17__de-us-20170217-q1-8k__784623.md,"guidance_issued=2017-02-17; guidance_vintage=FY2017 Q1 earnings release; vintage_seq=1; guides FY2017 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2017-10-29,2017,Q2,475,USDm,filing,filings/2017-05-19__de-us-20170519-q2-8k__784651.md,"guidance_issued=2017-05-19; guidance_vintage=FY2017 Q2 earnings release; vintage_seq=2; guides FY2017 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2017-10-29,2017,Q3,475,USDm,filing,filings/2017-08-18__de-us-20170818-q3-8k__784624.md,"guidance_issued=2017-08-18; guidance_vintage=FY2017 Q3 earnings release; vintage_seq=3; guides FY2017 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2018-10-28,2018,Q4,515,USDm,filing,filings/2017-11-22__de-us-20171122-fy-8k__784662.md,"guidance_issued=2017-11-22; guidance_vintage=FY2017 Q4 earnings release; vintage_seq=0; guides FY2018 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2018 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2018-10-28,2018,Q1,840,USDm,filing,filings/2018-02-16__de-us-20180216-q1-8k__784666.md,"guidance_issued=2018-02-16; guidance_vintage=FY2018 Q1 earnings release; vintage_seq=1; guides FY2018 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2018-10-28,2018,Q2,800,USDm,filing,filings/2018-05-18__de-us-20180518-q2-8k__784663.md,"guidance_issued=2018-05-18; guidance_vintage=FY2018 Q2 earnings release; vintage_seq=2; guides FY2018 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2018-10-28,2018,Q3,815,USDm,filing,filings/2018-08-17__de-us-20180817-q3-8k__784667.md,"guidance_issued=2018-08-17; guidance_vintage=FY2018 Q3 earnings release; vintage_seq=3; guides FY2018 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2019-11-03,2019,Q4,630,USDm,filing,filings/2018-11-21__de-us-20181121-fy-8k__654629.md,"guidance_issued=2018-11-21; guidance_vintage=FY2018 Q4 earnings release; vintage_seq=0; guides FY2019 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2019 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2019-11-03,2019,Q1,630,USDm,filing,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"guidance_issued=2019-02-15; guidance_vintage=FY2019 Q1 earnings release; vintage_seq=1; guides FY2019 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2019-11-03,2019,Q2,600,USDm,filing,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"guidance_issued=2019-05-17; guidance_vintage=FY2019 Q2 earnings release; vintage_seq=2; guides FY2019 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2019-11-03,2019,Q3,620,USDm,filing,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"guidance_issued=2019-08-16; guidance_vintage=FY2019 Q3 earnings release; vintage_seq=3; guides FY2019 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2020-11-01,2020,Q4,600,USDm,filing,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"guidance_issued=2019-11-27; guidance_vintage=FY2019 Q4 earnings release; vintage_seq=0; guides FY2020 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2020 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2020-11-01,2020,Q1,600,USDm,filing,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,"guidance_issued=2020-02-21; guidance_vintage=FY2020 Q1 earnings release; vintage_seq=1; guides FY2020 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2021-10-31,2021,Q4,630,USDm,filing,filings/2020-11-25__de-us-20201125-q4-8k__105817.md,"guidance_issued=2020-11-25; guidance_vintage=FY2020 Q4 earnings release; vintage_seq=0; guides FY2021 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2021 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2022-10-30,2022,Q4,870,USDm,filing,filings/2021-11-24__de-us-20211124-q4-8k__105843.md,"guidance_issued=2021-11-24; guidance_vintage=FY2021 Q4 earnings release; vintage_seq=0; guides FY2022 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2022 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2023-10-29,2023,Q4,900,USDm,filing,filings/2022-11-23__de-us-20221123-q4-8k__105825.md,"guidance_issued=2022-11-23; guidance_vintage=FY2022 Q4 earnings release; vintage_seq=0; guides FY2023 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2023 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2023-10-29,2023,Q1,820,USDm,filing,filings/2023-02-17__de-us-20230217-q1-8k__105833.md,"guidance_issued=2023-02-17; guidance_vintage=FY2023 Q1 earnings release; vintage_seq=1; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2023-10-29,2023,Q2,630,USDm,filing,filings/2023-05-19__de-us-20230519-q2-8k__105839.md,"guidance_issued=2023-05-19; guidance_vintage=FY2023 Q2 earnings release; vintage_seq=2; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2023-10-29,2023,Q3,630,USDm,filing,filings/2023-08-18__de-us-20230818-q3-8k__105829.md,"guidance_issued=2023-08-18; guidance_vintage=FY2023 Q3 earnings release; vintage_seq=3; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2024-10-27,2024,Q4,770,USDm,filing,filings/2023-11-22__de-us-20231122-q4-8k__105823.md,"guidance_issued=2023-11-22; guidance_vintage=FY2023 Q4 earnings release; vintage_seq=0; guides FY2024 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2024 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2024-10-27,2024,Q1,770,USDm,filing,filings/2024-02-15__de-us-20240215-q1-8k__105824.md,"guidance_issued=2024-02-15; guidance_vintage=FY2024 Q1 earnings release; vintage_seq=1; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2024-10-27,2024,Q2,770,USDm,filing,filings/2024-05-16__de-us-20240516-q2-8k__105819.md,"guidance_issued=2024-05-16; guidance_vintage=FY2024 Q2 earnings release; vintage_seq=2; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2024-10-27,2024,Q3,720,USDm,filing,filings/2024-08-15__de-us-20240815-q3-8k__105836.md,"guidance_issued=2024-08-15; guidance_vintage=FY2024 Q3 earnings release; vintage_seq=3; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_implied_ppa_operating_profit_high,2021-10-31,2021,Q2,3538.63,USDm,inference,filings/2021-05-21__de-us-20210521-q2-8k__105846.md + slides/2021-05-21__de-us-20210521-slide__46479.md,"guidance_issued=2021-05-21; guidance_vintage=FY2021 Q2 earnings release; vintage_seq=2; guides FY2021 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2020 actual PPA net sales (12962 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2021-10-31,2021,Q3,3538.63,USDm,inference,filings/2021-08-20__de-us-20210820-q3-8k__105827.md + slides/2021-08-20__de-us-20210820-slide__46481.md,"guidance_issued=2021-08-20; guidance_vintage=FY2021 Q3 earnings release; vintage_seq=3; guides FY2021 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2020 actual PPA net sales (12962 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2022-10-30,2022,Q4,4333.61,USDm,inference,filings/2021-11-24__de-us-20211124-q4-8k__105843.md + slides/2021-11-24__de-us-20211124-slide__46437.md,"guidance_issued=2021-11-24; guidance_vintage=FY2021 Q4 earnings release; vintage_seq=0; guides FY2022 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2022 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2021 actual PPA net sales (16509 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2022-10-30,2022,Q1,4721.57,USDm,inference,filings/2022-02-18__de-us-20220218-q1-8k__105812.md + slides/2022-02-18__de-us-20220218-slide__46449.md,"guidance_issued=2022-02-18; guidance_vintage=FY2022 Q1 earnings release; vintage_seq=1; guides FY2022 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2021 actual PPA net sales (16509 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2022-10-30,2022,Q2,4721.57,USDm,inference,filings/2022-05-20__de-us-20220520-q2-8k__105815.md + slides/2022-05-20__de-us-20220520-slide__46463.md,"guidance_issued=2022-05-20; guidance_vintage=FY2022 Q2 earnings release; vintage_seq=2; guides FY2022 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2021 actual PPA net sales (16509 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2022-10-30,2022,Q3,4506.96,USDm,inference,filings/2022-08-19__de-us-20220819-q3-8k__105811.md + slides/2022-08-19__de-us-20220819-slide__46460.md,"guidance_issued=2022-08-19; guidance_vintage=FY2022 Q3 earnings release; vintage_seq=3; guides FY2022 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2021 actual PPA net sales (16509 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2023-10-29,2023,Q4,6072.55,USDm,inference,filings/2022-11-23__de-us-20221123-q4-8k__105825.md + slides/2022-11-23__de-us-20221123-slide__46423.md,"guidance_issued=2022-11-23; guidance_vintage=FY2022 Q4 earnings release; vintage_seq=0; guides FY2023 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2023 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2022 actual PPA net sales (22002 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2023-10-29,2023,Q1,6468.59,USDm,inference,filings/2023-02-17__de-us-20230217-q1-8k__105833.md + slides/2023-02-17__de-us-20230217-slide__46447.md,"guidance_issued=2023-02-17; guidance_vintage=FY2023 Q1 earnings release; vintage_seq=1; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2022 actual PPA net sales (22002 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2023-10-29,2023,Q2,6864.62,USDm,inference,filings/2023-05-19__de-us-20230519-q2-8k__105839.md + slides/2023-05-19__de-us-20230519-slide__46428.md,"guidance_issued=2023-05-19; guidance_vintage=FY2023 Q2 earnings release; vintage_seq=2; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2022 actual PPA net sales (22002 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2023-10-29,2023,Q3,6864.62,USDm,inference,filings/2023-08-18__de-us-20230818-q3-8k__105829.md + slides/2023-08-18__de-us-20230818-slide__46427.md,"guidance_issued=2023-08-18; guidance_vintage=FY2023 Q3 earnings release; vintage_seq=3; guides FY2023 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2022 actual PPA net sales (22002 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2024-10-27,2024,Q4,5465.16,USDm,inference,filings/2023-11-22__de-us-20231122-q4-8k__105823.md + slides/2023-11-22__de-us-20231122-slide__46466.md,"guidance_issued=2023-11-22; guidance_vintage=FY2023 Q4 earnings release; vintage_seq=0; guides FY2024 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2024 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2023 actual PPA net sales (26790 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2024-10-27,2024,Q1,4822.2,USDm,inference,filings/2024-02-15__de-us-20240215-q1-8k__105824.md + slides/2024-02-15__de-us-20240215-slide__46430.md,"guidance_issued=2024-02-15; guidance_vintage=FY2024 Q1 earnings release; vintage_seq=1; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2023 actual PPA net sales (26790 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2024-10-27,2024,Q2,4607.88,USDm,inference,filings/2024-05-16__de-us-20240516-q2-8k__105819.md + slides/2024-05-16__de-us-20240516-slide__46443.md,"guidance_issued=2024-05-16; guidance_vintage=FY2024 Q2 earnings release; vintage_seq=2; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2023 actual PPA net sales (26790 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2024-10-27,2024,Q3,4607.88,USDm,inference,filings/2024-08-15__de-us-20240815-q3-8k__105836.md + slides/2024-08-15__de-us-20240815-slide__46457.md,"guidance_issued=2024-08-15; guidance_vintage=FY2024 Q3 earnings release; vintage_seq=3; guides FY2024 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2023 actual PPA net sales (26790 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2025-11-02,2025,Q4,3187.6,USDm,inference,filings/2024-11-21__de-us-20241121-q4-8k__105840.md + slides/2024-11-21__de-us-20241121-slide__46477.md,"guidance_issued=2024-11-21; guidance_vintage=FY2024 Q4 earnings release; vintage_seq=0; guides FY2025 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2025 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2024 actual PPA net sales (20834 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2025-11-02,2025,Q1,3010.51,USDm,inference,filings/2025-02-13__de-us-20250213-q1-8k__105841.md + slides/2025-02-13__de-us-20250213-slide__46456.md,"guidance_issued=2025-02-13; guidance_vintage=FY2025 Q1 earnings release; vintage_seq=1; guides FY2025 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2024 actual PPA net sales (20834 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2025-11-02,2025,Q2,3010.51,USDm,inference,filings/2025-05-15__de-us-20250515-q2-8k__105808.md + slides/2025-05-15__de-us-20250515-slide__46462.md,"guidance_issued=2025-05-15; guidance_vintage=FY2025 Q2 earnings release; vintage_seq=2; guides FY2025 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2024 actual PPA net sales (20834 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2025-11-02,2025,Q3,3010.51,USDm,inference,filings/2025-08-15__de-us-20250815-q3-8k__143410.md + slides/2025-08-15__de-us-20250815-slide__143404.md,"guidance_issued=2025-08-15; guidance_vintage=FY2025 Q3 earnings release; vintage_seq=3; guides FY2025 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2024 actual PPA net sales (20834 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2026-11-01,2026,Q4,2137.91,USDm,inference,filings/2025-11-26__de-us-20251126-q4-8k__361233.md + slides/2025-11-26__de-us-20251126-slide__361243.md,"guidance_issued=2025-11-26; guidance_vintage=FY2025 Q4 earnings release; vintage_seq=0; guides FY2026 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2026 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2025 actual PPA net sales (17311 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
de_guidance_fy_implied_ppa_operating_profit_high,2026-11-01,2026,Q1,2137.91,USDm,inference,filings/2026-02-19__de-us-20260219-q1-8k__603009.md + slides/2026-02-19__de-us-20260219-slide__603088.md,"guidance_issued=2026-02-19; guidance_vintage=FY2026 Q1 earnings release; vintage_seq=1; guides FY2026 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; segment_basis=modern-PPA; INFERENCE = FY2025 actual PPA net sales (17311 USDm) x (1 + guided sales growth) x guided operating margin. Deere does not guide segment operating profit in dollars."
