series_id,period_end,fiscal_year,fiscal_quarter,segment,component,value,units,source,notes
de_order_coverage_months,2025-05-15,2025,2,PPA_large_ag_NA,forward_order_coverage,5.0,months,call-transcripts/2025-05-15__de-us-20250515-call-pres__46417.md,"""Turning to order books, availability for both North American-produced large tractors and European-produced mid-sized tractors is into October."" | derivation: 'into October' from 2025-05-15 = ~5.0 months; FY2025 ended 2025-11-02"
de_q2call_covers_next_q3_flag,2025-05-15,2025,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2025-05-15__de-us-20250515-call-pres__46417.md,"""Turning to order books, availability for both North American-produced large tractors and European-produced mid-sized tractors is into October."""
de_order_coverage_months,2026-05-21,2026,2,PPA_large_ag_NA,forward_order_coverage,4.0,months,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""Regarding Waterloo large tractors, order books are well into the fourth quarter as we look to close out our model year 2026 production."" | derivation: 'well into the fourth quarter' from 2026-05-21; FY2026 Q4 begins ~2026-08-03 and ends ~2026-11-01, so ~4 months forward. Q3 FY2026 (ends ~2026-08-02) is fully inside the book"
de_q2call_covers_next_q3_flag,2026-05-21,2026,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""Regarding Waterloo large tractors, order books are well into the fourth quarter as we look to close out our model year 2026 production."""
de_order_coverage_months,2025-05-15,2025,2,PPA_south_america,months,2.5,months,call-transcripts/2025-05-15__de-us-20250515-call-pres__46417.md,"""In Brazil, our order books are full through the third quarter."" | Q3 FY2025 ended 2025-07-27 = ~2.4 months forward from the call"
de_order_coverage_months,2026-05-21,2026,2,PPA_europe,months,3.0,months,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""Order visibility in both regions now extends through the third quarter and into the fourth."" (Europe and South America) | Q3 FY2026 ends ~2026-08-02; ""into the fourth"" implies ~3 months forward"
de_order_coverage_months,2026-05-21,2026,2,PPA_south_america,months,3.0,months,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""Order visibility in both regions now extends through the third quarter and into the fourth."""
de_order_coverage_months,2024-05-16,2024,2,CF_earthmoving,months,4.0,months,call-transcripts/2024-05-16__de-us-20240516-call-pres__46458.md,"""Our guide is also supported by an order book for earthmoving equipment that extends out approximately four months into the fourth quarter."" | explicit 4 months"
de_order_coverage_months,2024-08-15,2024,3,CF_earthmoving,months,2.0,months,call-transcripts/2024-08-15__de-us-20240815-call-pres__46429.md,"""With roughly two months of order visibility in this segment, we are confident in our ability to execute our plan."" | explicit ~2 months for North American construction"
de_order_coverage_pct_slots,2026-05-21,2026,2,CF_NA,pct_of_fy_production_slots_filled,80.0,pct,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""our order book continues to strengthen, up more than 60% since November, now at its highest level since April of 2024, with over 80% of production slots filled for the year."""
de_order_book_yoy_pct,2026-05-21,2026,2,CF_NA,pct_increase_since_november,60.0,pct,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""our order book continues to strengthen, up more than 60% since November"" | NOT year-over-year: growth since the start of FY2026"
de_order_coverage_months,2026-02-19,2026,1,PPA_europe,months,4.5,months,call-transcripts/2026-02-19__de-us-20260219-call-pres__605076.md,"""European tractor order books are currently 4-5 months out, while South American orders are full through our second quarter."" | midpoint of 4-5"
de_order_coverage_months,2026-02-19,2026,1,PPA_south_america,months,2.5,months,call-transcripts/2026-02-19__de-us-20260219-call-pres__605076.md,"""South American orders are full through our second quarter."" | Q2 FY2026 ended ~2026-05-03"
de_order_coverage_months,2026-02-19,2026,1,PPA_large_ag_NA,months,5.5,months,call-transcripts/2026-02-19__de-us-20260219-call-pres__605076.md,"""large tractor order velocity for the North American market has picked up, and our rolling order books now provide visibility into the fourth quarter."" | at the Q1 call (2026-02-19) the NA rolling book ALREADY reached past Q3 into Q4 FY2026"
de_order_coverage_months,2024-02-15,2024,1,CF_compact,months,5.5,months,call-transcripts/2024-02-15__de-us-20240215-call-pres__46480.md,"""our order books, which for construction and forestry are full through the second quarter across most product lines, with compact construction equipment notably full through the end of the third quarter."""
de_order_coverage_months,2024-02-15,2024,1,CF_NA,months,2.5,months,call-transcripts/2024-02-15__de-us-20240215-call-pres__46480.md,"""order books ... for construction and forestry are full through the second quarter across most product lines"""
de_order_visibility_rank,2014-05-14,2014,2,SAT,flag_1_less_visibility_than_large_ag,0,flag_1_yes,call-transcripts/2014-05-14__de-us-20140514-call-qna__1526780.md,"""On small ag versus large, just as a broad statement, our order book would not be as far out and never, rarely would be versus the large."" | value 0 = materially shorter visibility than PPA large ag"
de_order_visibility_rank,2017-08-18,2017,3,SAT,flag_1_less_visibility_than_large_ag,0,flag_1_yes,call-transcripts/2017-08-18__de-us-20170818-call-qna__1478901.md,"""We don't tend to get that kind of visibility on small Ag."""
de_order_visibility_rank,2025-05-15,2025,2,SAT_turf_compact,flag_1_less_visibility_than_large_ag,0,flag_1_yes,call-transcripts/2025-05-15__de-us-20250515-call-pres__46417.md,"""It's worth noting that we have less order visibility in turf equipment and compact utility tractors."""
de_order_visibility_rank,2020-05-21,2020,2,CF,flag_1_less_visibility_than_large_ag,0,flag_1_yes,call-transcripts/2020-05-21__de-us-20200521-call-pres-2__1143269.md,"""Other products have lower levels of visibility as they do not operate off early order programs and tend to be driven to a larger extent by general economic trends such as housing starts, the price of oil, levels of GDP"""
de_order_visibility_rank,2020-05-21,2020,2,PPA,flag_1_less_visibility_than_large_ag,1,flag_1_yes,call-transcripts/2020-05-21__de-us-20200521-call-pres-2__1143269.md,"""certain products, like those subject to our early order programs, operate on more of a sold-ahead basis, and we have higher visibility to demand in those areas."" | value 1 = high visibility"
de_eop_share_of_production_pct,2017-02-17,2017,1,PPA_seasonal,eop_share_of_annual_production,90.0,pct,call-transcripts/2017-02-17__de-us-20170217-call-qna__1480475.md,"""Certainly, that combine early order program, in most years is 90-plus % of our annual production."" | value is a floor: management says ""over""/""nearly"" 90%"
de_eop_share_of_production_pct,2017-05-19,2017,2,PPA_seasonal,eop_share_of_annual_production,90.0,pct,call-transcripts/2017-05-19__de-us-20170519-call-qna__1479659.md,"""Our early order program accounts for over 90% of that in any given year."" | value is a floor: management says ""over""/""nearly"" 90%"
de_eop_share_of_production_pct,2023-05-19,2023,2,PPA_seasonal,eop_share_of_annual_production,90.0,pct,call-transcripts/2023-05-19__de-us-20230519-call-qna__46469.md,"""Typically, we source about 90% of model year 2024 planters and sprayers through the early order program."" | value is a floor: management says ""over""/""nearly"" 90%"
de_eop_share_of_production_pct,2024-02-15,2024,1,PPA_seasonal,eop_share_of_annual_production,90.0,pct,call-transcripts/2024-02-15__de-us-20240215-call-pres__46480.md,"""With nearly 90% of orders sourced through our combine, sprayer, and planter early order programs, we have significant visibility into the balance of the year for those product lines."" | value is a floor: management says ""over""/""nearly"" 90%"
de_eop_share_of_production_pct,2015-05-22,2015,2,PPA_seasonal,eop_share_of_annual_production,90.0,pct,call-transcripts/2015-05-22__de-us-20150522-call-qna__1521782.md,"""Certainly combines at this point in the year with the early order program, we're well over 90% covered."" | value is a floor: management says ""over""/""nearly"" 90%"
de_eop_calendar_month,2025-08-15,2025,3,PPA_sprayers,open_month,5,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""The EOP for sprayers opened in mid May and actually closes today."""
de_eop_calendar_month,2025-08-15,2025,3,PPA_sprayers,close_month,8,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""The EOP for sprayers opened in mid May and actually closes today."""
de_eop_calendar_month,2025-08-15,2025,3,PPA_planters,open_month,6,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""Planner EOP opened at the June and will close at the September."""
de_eop_calendar_month,2025-08-15,2025,3,PPA_planters,close_month,9,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""Planner EOP opened at the June and will close at the September."""
de_eop_calendar_month,2025-08-15,2025,3,PPA_combines,open_month,8,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""Lastly, Combine EOP just opened at the August and will run through the December."""
de_eop_calendar_month,2025-08-15,2025,3,PPA_combines,close_month,12,calendar_month_1_12,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""Lastly, Combine EOP just opened at the August and will run through the December."""
de_eop_calendar_month,2026-05-21,2026,2,PPA_sprayers,open_month,5,calendar_month_1_12,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""We opened up at the beginning of May. It'll run through the end of August."""
de_eop_calendar_month,2026-05-21,2026,2,PPA_sprayers,close_month,8,calendar_month_1_12,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""We opened up at the beginning of May. It'll run through the end of August."""
de_eop_calendar_month,2026-05-21,2026,2,PPA_planters,open_month,6,calendar_month_1_12,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""Planters will be kind of a one month lag of that, opening up at the beginning of June and running through the end of September."""
de_eop_calendar_month,2026-05-21,2026,2,PPA_planters,close_month,9,calendar_month_1_12,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"""Planters will be kind of a one month lag of that, opening up at the beginning of June and running through the end of September."""
de_eop_calendar_month,2025-11-26,2025,4,PPA_combines,close_month,12,calendar_month_1_12,call-transcripts/2025-11-26__de-us-20251126-call-q4-pres-2__361265.md,"""our combine EOP, which closes in Mid-December, is projected to fall within our guided range for the industry."""
de_eop_calendar_month,2022-11-23,2022,4,PPA_combines,open_month,8,calendar_month_1_12,call-transcripts/2022-11-23__de-us-20221123-call-pres__46446.md,"""We opened North American Combine EOP back in August."""
de_eop_calendar_month,2023-08-18,2023,3,PPA_combines,open_month,8,calendar_month_1_12,call-transcripts/2023-08-18__de-us-20230818-call-pres__46455.md,"""Our combine early order program just opened at the beginning of this month and has gotten off to a nice start, but it remains too early to extrapolate any data points for 2024 as the program will continue through the end of November."""
de_eop_calendar_month,2023-08-18,2023,3,PPA_combines,close_month,11,calendar_month_1_12,call-transcripts/2023-08-18__de-us-20230818-call-pres__46455.md,"""the program will continue through the end of November"""
de_eop_calendar_month,2022-05-20,2022,2,PPA_crop_care,open_month,6,calendar_month_1_12,call-transcripts/2022-05-20__de-us-20220520-call-qna__46464.md,"""we will have our early order programs open up for crop care in early June, which is fairly typical for our planters and sprayers."""
de_eop_calendar_month,2021-05-21,2021,2,PPA_crop_care,open_month,6,calendar_month_1_12,call-transcripts/2021-05-21__de-us-20210521-call-pres__46476.md,"""We'll open our early order program for planters and sprayers in June, which will yield some additional data points on demand for 2022."""
de_eop_calendar_month,2019-11-27,2019,4,PPA_crop_care,close_month,10,calendar_month_1_12,call-transcripts/2019-11-27__de-us-20191127-call-pres-2__1347447.md,"""the final phase of the planter and sprayer EOP concluded in October with mixed results on a unit basis."""
de_eop_calendar_month,2018-11-21,2018,4,PPA_crop_care,close_month,9,calendar_month_1_12,call-transcripts/2018-11-21__de-us-20181121-call-pres-2__1441802.md,"""In September, the final phase of the planter and sprayer early order program concluded, with orders up mid-single digits over 2018."""
de_eop_calendar_month,2017-11-22,2017,4,PPA_combines,close_month,1,calendar_month_1_12,call-transcripts/2017-11-22__de-us-20171122-call-qna__1478009.md,"""Our combine early order program, it will end in January"""
de_eop_calendar_month,2025-02-13,2025,1,PPA_combines,close_month,1,calendar_month_1_12,call-transcripts/2025-02-13__de-us-20250213-call-q1-pres__46459.md,"""Our combine early order program closed a couple of weeks ago and compared to last year's EOP was down more than our industry guide."""
de_eop_duration_months,2022-11-23,2022,4,PPA_combines,normal_eop_open_duration,5.5,months,call-transcripts/2022-11-23__de-us-20221123-call-pres__46446.md,"""That's noteworthy because we normally have the EOP open for five to six months."" | midpoint of 5-6 months"
de_eop_lead_months_order_to_delivery,2026-05-21,2026,2,PPA_sprayers,months_eop_open_to_use_season,9.5,months,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"DERIVED: MY2027 sprayer EOP opens May 2026 and closes end-Aug 2026 (""We opened up at the beginning of May. It'll run through the end of August.""); production runs ""in the last few months of the fiscal year"" (Aug-Oct 2026); delivery ahead of the spring 2027 use season (Mar-May 2027). May-2026 order to ~Apr-2027 use = ~11 months; Aug-2026 close to ~Apr-2027 = ~8 months. Value = midpoint of the open-to-use and close-to-use interval, 9.5 months"
de_eop_lead_months_order_to_delivery,2026-05-21,2026,2,PPA_planters,months_eop_open_to_use_season,9.0,months,call-transcripts/2026-05-21__de-us-20260521-call-qna__1042775.md,"DERIVED: MY2027 planter EOP opens Jun-2026, closes end-Sep-2026; planting season Apr-May 2027. Open-to-use ~10 months, close-to-use ~7 months; midpoint 9.0"
de_eop_lead_months_order_to_delivery,2025-08-15,2025,3,PPA_combines,months_eop_open_to_use_season,11.0,months,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"DERIVED: MY2026 combine EOP opens Aug-2025 and runs to Dec-2025 (""Combine EOP just opened at the August and will run through the December""); combines are delivered for the following autumn harvest (Aug-Oct 2026). Open-to-use ~12-14 months, close-to-use ~8-10 months; value = 11.0 as the central estimate"
de_eop_lead_months_order_to_production_start,2026-05-21,2026,2,PPA_seasonal,months_eop_open_to_production_start,3.0,months,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""We're just launching EOPs for model year 2027 spring products, which will begin production in the last few months of the fiscal year."" | EOP opened early May 2026, production begins ~Aug-2026 = ~3 months"
de_eop_orders_yoy_pct,2014-11-26,2014,4,PPA_seasonal,eop_orders_yoy,-40.0,pct_yoy,call-transcripts/2014-11-26__de-us-20141126-call-qna__1523108.md,"""Given that, as we look at early November, most programs are down 40% or more on the early order program."""
de_eop_orders_yoy_pct,2018-02-16,2018,1,PPA_combines,eop_orders_yoy,12.0,pct_yoy,call-transcripts/2018-02-16__de-us-20180216-call-qna__1477401.md,"""If you think about the combine EOP, it did come in strong, up double digits."" | ""double digits"" coded as 12% as a nominal midpoint, direction is the reliable part"
de_eop_orders_yoy_pct,2018-05-18,2018,2,PPA_combines,eop_orders_yoy,12.0,pct_yoy,call-transcripts/2018-05-18__de-us-20180518-call-pres-2__1475345.md,"""Replacement demand is reflected in the results of our 2018 Combine Early Order program, which increased by double digits from the previous year."" | ""double digits"" coded as 12% as a nominal midpoint, direction is the reliable part"
de_eop_orders_yoy_pct,2018-11-21,2018,4,PPA_crop_care,eop_orders_yoy,5.0,pct_yoy,call-transcripts/2018-11-21__de-us-20181121-call-pres-2__1441802.md,"""In September, the final phase of the planter and sprayer early order program concluded, with orders up mid-single digits over 2018."" | ""mid-single digits"" coded as 5%"
de_eop_orders_yoy_pct,2021-02-19,2021,1,PPA_crop_care,eop_orders_yoy,12.0,pct_yoy,call-transcripts/2021-02-19__de-us-20210219-call-pres__46420.md,"""Our Crop Care early order program, which ended in October, finished with unit orders up double digits compared to the prior year."" | ""double digits"" coded as 12% as a nominal midpoint, direction is the reliable part"
de_eop_orders_yoy_pct,2021-02-19,2021,1,PPA_combines,eop_orders_yoy,12.0,pct_yoy,call-transcripts/2021-02-19__de-us-20210219-call-pres__46420.md,"""we completed our Combine early order program in January, with results also up double digits and outpacing the results of our Crop Care program."" | ""double digits"" coded as 12% as a nominal midpoint, direction is the reliable part"
de_eop_orders_yoy_pct,2023-11-22,2023,4,PPA_planters,eop_orders_yoy,0.0,pct_yoy,call-transcripts/2023-11-22__de-us-20231122-call-pres__46470.md,"""our model year 2024 sprayer early order program ended strong, up year-over-year, and planters were flat year-over-year"""
de_eop_orders_yoy_pct,2023-11-22,2023,4,PPA_combines,eop_orders_yoy,-12.0,pct_yoy,call-transcripts/2023-11-22__de-us-20231122-call-pres__46470.md,"""While our combine early order program does not finish until the end of November, we expect volumes to be down double digits when compared to 2023."" | ""double digits"" coded as 12% as a nominal midpoint, direction is the reliable part"
de_eop_orders_yoy_pct,2025-08-15,2025,3,PPA_sprayers,eop_orders_yoy,-20.0,pct_yoy,call-transcripts/2025-08-15__de-us-20250815-call-q3-pres__143406.md,"""Based on the results of the EOP and expected order intake post EOP, which is based on historical activity, we project model year '26 sprayers to be down roughly 20% year over year."""
de_eop_orders_yoy_pct,2025-11-26,2025,4,PPA_sprayers,eop_orders_yoy,-20.0,pct_yoy,call-transcripts/2025-11-26__de-us-20251126-call-q4-pres-2__361265.md,"""We mentioned in last quarter's call that based on the results of the early order program, Deere sprayer shipments would be down around 20% this coming year."""
de_eop_forecast_accuracy_flag,2026-02-19,2026,1,PPA_combines,flag_1_eop_guided_outcome_held,1,flag_1_yes,call-transcripts/2026-02-19__de-us-20260219-call-pres__605076.md,"""our combined Early Order Program finished better than expected, and large tractor order activity has increased"" -> Deere RAISED its NA large-ag net sales forecast on the strength of a closed EOP. Evidence that the closed EOP is used directly as the shipment forecast."
de_eop_forecast_accuracy_flag,2025-11-26,2025,4,PPA_sprayers,flag_1_eop_guided_outcome_held,1,flag_1_yes,call-transcripts/2025-11-26__de-us-20251126-call-q4-pres-2__361265.md,"""We mentioned in last quarter's call that based on the results of the early order program, Deere sprayer shipments would be down around 20% this coming year."" -> the Q3 FY2025 EOP read was carried straight into the FY2026 shipment plan one quarter later, unchanged."
de_underproduction_flag,2015-05-22,2015,2,AT,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2015-05-22__de-us-20150522-call-qna__1521782.md,"""We have underproduced year-to-date, and we would continue, especially as we go into the back half of the year, we'll be underproducing the retail environment and continuing to bring those field inventories down"" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2017-05-19,2017,2,PPA,planned_underproduction_vs_retail,0,flag_1_underproducing,call-transcripts/2017-05-19__de-us-20170519-call-qna__1479659.md,"""If you think about large ag, for example, certainly versus last year where we were underproducing retail, this year we would be at or pretty much at retail."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2019-05-17,2019,2,PPA,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2019-05-17__de-us-20190517-call-pres-2__1392890.md,"""The reduction from previous guidance relates to recent softness in the North American large ag and dairy markets, as well as our decision to underproduce retail for the remainder of the year."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2020-05-21,2020,2,AT,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2020-05-21__de-us-20200521-call-pres-2__1143269.md,"""The incremental decline relative to the industry guidance reflects plans to underproduce retail sales as we take further actions to reduce field inventory."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2021-05-21,2021,2,PPA,planned_underproduction_vs_retail,0,flag_1_underproducing,call-transcripts/2021-05-21__de-us-20210521-call-pres__46476.md,"""At this point, we anticipate producing in line with retail demand for the year, keeping inventory levels relatively tight heading into fiscal year 2022."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2023-05-19,2023,2,SAT,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2023-05-19__de-us-20230519-call-qna__46469.md,"""we've seen inventory rise, and we will cut production and have cut and will produce below retail in the back half of the year to try to manage that inventory."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2024-05-16,2024,2,PPA,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2024-05-16__de-us-20240516-call-pres__46458.md,"""This is probably best exemplified by our decision to underproduce large tractor retail demand in North America in the back half of the year."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2026-05-21,2026,2,PPA_NA,planned_underproduction_vs_retail,0,flag_1_underproducing,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""With these improvements, our plan for the year is to continue to manage production in line with retail demand."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2026-05-21,2026,2,SAT_NA,planned_underproduction_vs_retail,0,flag_1_underproducing,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""we continue to execute against our plan to build in line with retail demand this fiscal year."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2026-05-21,2026,2,PPA_europe,planned_underproduction_vs_retail,0,flag_1_underproducing,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""In Europe, 2026 production is largely aligned with retail demand"" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2026-05-21,2026,2,PPA_brazil,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2026-05-21__de-us-20260521-call-pres__1042774.md,"""while in Brazil we expect to underproduce retail demand, most notably in combines."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_flag,2026-02-19,2026,1,PPA_brazil,planned_underproduction_vs_retail,1,flag_1_underproducing,call-transcripts/2026-02-19__de-us-20260219-call-pres__605076.md,"""We'll underproduce retail for Brazilian combines in our second and third quarters to bring those inventory levels down."" | 1 = management states it will produce BELOW retail demand; 0 = explicitly in line with retail"
de_underproduction_magnitude_pct,2024-05-16,2024,2,PPA,underproduction_vs_retail_sales,9.0,pct,call-transcripts/2024-05-16__de-us-20240516-call-qna__46474.md,"""if you look at Production and Precision Ag, you know, it's about high single digit underproduction."" | ""high single digit"" coded as 9%; worldwide, complete-goods basis, full fiscal year"
de_q2call_h2_cadence_statement,2022-05-20,2022,2,enterprise,back_half_weighted,1,flag_statement_made,call-transcripts/2022-05-20__de-us-20220520-call-pres__46444.md,"""We also expect shipments to be more back-half weighted than we've seen historically as we work through a backlog of partially built inventory waiting for supplied parts"" | component field carries the coded content of the statement"
de_q2call_h2_cadence_statement,2023-05-19,2023,2,enterprise,q3_down_sequentially_10_15pct,1,flag_statement_made,call-transcripts/2023-05-19__de-us-20230519-call-pres__46451.md,"""We'd expect revenue to be down sequentially by a bit over 10% in the third quarter."" | component field carries the coded content of the statement"
